"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"13-Apr-17",13,"Apr",2017,"Unprovoked","USA","Florida","Hanna Park, Jacksonville, Duval County","Surfing","M",17,"Lacerations to right foot","N","Unknown","Hanna Park, Jacksonville, Duval County , Florida , USA",30.3699,-81.3985499999999
"11-Apr-17",11,"Apr",2017,"Unprovoked","USA","Florida","Ormond Beach, Volusia County","Surfing","F",35,"Calf bitten","N","Unknown","Ormond Beach, Volusia County , Florida , USA",29.28558,-81.05555
"10-Apr-17",10,"Apr",2017,"Unprovoked","USA","Florida","Melbourne Beach, Brevard County","Paddle and Boogie boarding","F",10,"Laceration to calf","N","Unknown","Melbourne Beach, Brevard County , Florida , USA",28.0683900000001,-80.5653399999999
"10-Apr-17",10,"Apr",2017,"Unprovoked","USA","Florida","Melbourne Beach, Brevard County","Swimming","F",21,"Minor injury to left hand","N","Unknown","Melbourne Beach, Brevard County , Florida , USA",28.0683900000001,-80.5653399999999
"6-Apr-17",6,"Apr",2017,"Unprovoked","USA","Florida","Daytona, Volusia County","Swimming","M",16,"Foot injured","N","Unknown","Daytona, Volusia County , Florida , USA",29.204102,-81.131859
"5-Apr-17",5,"Apr",2017,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Swimming","F",51,"Thigh nipped, minor injury","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"2-Apr-17",2,"Apr",2017,"Unprovoked","AUSTRALIA","Queensland","Moreton Bay","Kayaking","M",39,"No injury, shark bit off stern of kayak","N","Unknown","Moreton Bay , Queensland , AUSTRALIA",-27.1073099999999,152.92937
"2-Apr-17",2,"Apr",2017,"Unprovoked","USA","Florida","Destin, Okaloosa County","Swimming","F",17,"Lacerations to thighs","N","Bull shark","Destin, Okaloosa County , Florida , USA",30.39329,-86.49566
"27-Mar-17",27,"Mar",2017,"Unprovoked","USA","Florida","New Smyrna Beach, Volusia County","Surfing","M",58,"Minor injury to left foot","N","Unknown","New Smyrna Beach, Volusia County , Florida , USA",29.02716,-80.92303
"19-Mar-17",19,"Mar",2017,"Unprovoked","AUSTRALIA","New South Wales","The Farm","Paddle and Boogie boarding","M",30,"Minor","N","Unknown","The Farm , New South Wales , AUSTRALIA",-33.7335399999999,150.96294
"11-Mar-17",11,"Mar",2017,"Unprovoked","PHILIPPINES","Luzon Island","Villamar, Caoayan","Fishing","M",25,"Right thigh injured","N","Unknown","Villamar, Caoayan , Luzon Island , PHILIPPINES",17.53254,120.39432
"9-Mar-17",9,"Mar",2017,"Unprovoked","BAHAMAS","Great Exuma",NA,"Swimming","M",58,"Abrasions & lacerations to left leg and hand","N","Lemon shark","NA , Great Exuma , BAHAMAS",23.53333,-75.83333
"21-Feb-17",21,"Feb",2017,"Unprovoked","REUNION","Saint-Andre",NA,"Paddle and Boogie boarding","M",26,"Fatal","Y","Unknown","NA , Saint-Andre , REUNION",-20.95985,55.65394
"17-Feb-17",17,"Feb",2017,"Unprovoked","AUSTRALIA","Queensland","Eva Rock","Fishing","M",26,"Left leg severely bitten","N","Unknown","Eva Rock , Queensland , AUSTRALIA",-23.34815,150.53726
"11-Feb-17",11,"Feb",2017,"Unprovoked","USA","Florida","Melbourne Beach, Brevard County","Swimming","M",22,"Injury to hand","N","Unknown","Melbourne Beach, Brevard County , Florida , USA",28.0683900000001,-80.5653399999999
"1-Feb-17",1,"Feb",2017,"Unprovoked","BAHAMAS","Bimini",NA,"Diving","M",37,"Lacerations to upper right arm","N","Caribbean reef shark","NA , Bimini , BAHAMAS",25.701848231,-79.2729849999999
"24-Jan-17",24,"Jan",2017,"Unprovoked","BRAZIL","Pernambuco","Boa Viagem, Recife","Swimming","M",21,"Minor laceration to ring finger","N","Unknown","Boa Viagem, Recife , Pernambuco , BRAZIL",-8.12789999999995,-34.9061799999999
"21-Jan-17",21,"Jan",2017,"Unprovoked","AUSTRALIA","Queensland","Boot Reef, Torres Strait","Diving","M",55,"Multiple injuries to arm, wrist and torso","N","Bull shark","Boot Reef, Torres Strait , Queensland , AUSTRALIA",-9.56108590299993,142.288791541
"13-Jan-17",13,"Jan",2017,"Unprovoked","AUSTRALIA","Queensland","Clairview","Swimming","M",57,"Injury to hand","N","Unknown","Clairview , Queensland , AUSTRALIA",-22.04115,149.48394
"9-Jan-17",9,"Jan",2017,"Unprovoked","INDONESIA","Bali","Balian Beach","Surfing","M",48,"Injury to right wrist & forearm","N","Bull shark","Balian Beach , Bali , INDONESIA",-8.50324999999998,114.96592
"5-Jan-17",5,"Jan",2017,"Unprovoked","USA","Florida","Blockhouse Beach, Brevard County","Walking","M",47,"Minor injuries to foot","N","Unknown","Blockhouse Beach, Brevard County , Florida , USA",27.9864432073691,-80.6574202619313
"27-Dec-16",27,"Dec",2016,"Unprovoked","USA","Florida","Avalon State Park Beach, North Hutchinson Island, St Lucie County","Surfing","M",16,"Lacerations to right forearm","N","Unknown","Avalon State Park Beach, North Hutchinson Island, St Lucie County , Florida , USA",27.5385200000001,-80.31647
"19-Dec-16",19,"Dec",2016,"Unprovoked","SOUTH AFRICA","Western Cape Province","Keurbooms Lagoon, Plettenberg Bay","Surfing","M",55,"No injury, but ski severely damaged","N","White shark","Keurbooms Lagoon, Plettenberg Bay , Western Cape Province , SOUTH AFRICA",-34.0553199999999,23.37224
"14-Dec-16",14,"Dec",2016,"Unprovoked","AUSTRALIA","Western Australia","Trigg Beach","Diving","M",61,"Punctures to left foot/ankle","N","Unknown","Trigg Beach , Western Australia , AUSTRALIA",-32.0751899606898,115.8198900967
"6-Dec-16",6,"Dec",2016,"Provoked","AUSTRALIA","New South Wales","Merimbula","Fishing","M",20,"Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT","N","Wobbegong shark","Merimbula , New South Wales , AUSTRALIA",-36.8881299999999,149.90606
"1-Dec-16",1,"Dec",2016,"Unprovoked","AUSTRALIA","New South Wales","Booti Booti National Park","Surfing","M",65,"Injuries to foot & arm","N","White shark","Booti Booti National Park , New South Wales , AUSTRALIA",-32.24824,152.50727
"28-Nov-16",28,"Nov",2016,"Provoked","AUSTRALIA","Victoria","Queenscliff","Fishing","M",73,"Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT","N","Sevengill shark","Queenscliff , Victoria , AUSTRALIA",-38.2673,144.66122
"14-Nov-16",14,"Nov",2016,"Unprovoked","USA","Hawaii","Kamaole Beach Park I, Maui","Floating","F",58,"Injuries to right calf and thigh","N","Tiger shark","Kamaole Beach Park I, Maui , Hawaii , USA",20.72029,-156.44701
"30-Oct-16",30,"Oct",2016,"Unprovoked","USA","Florida","Mayport Naval Station Beach, Duval County","Surfing","M",41,"Lacerations to right foot and ankle","N","Unknown","Mayport Naval Station Beach, Duval County , Florida , USA",30.37717,-81.41025
"29-Oct-16",29,"Oct",2016,"Unprovoked","USA","Florida","Mayport Naval Station  Duval County","Surfing","M",42,"Lacerations to right hand","N","Unknown","Mayport Naval Station  Duval County , Florida , USA",30.37717,-81.41025
